0_config,numCycles,iqFullEvents,cpi,ipc,enterRA,totalCyclesRA,cyclesAvgRA,pctRobEmptyRA,totalDecodedRA,l1Miss,l1MissRA,icacheStallCycles,fullRegistersEvents,l2Miss,l2MissRA,freeRegsAvg,iqFullRa,fullROBstalls
base_dijkstra_rob64_256kB,153183,0,2.721415,0.367456,112,,,,2658,304,,44913,,179,,,,9913
base_dijkstra_rob64_64kB,153441,0,2.725998,0.366838,112,,,,2658,304,,44940,,179,,,,9915
base_dijkstra_rob96_128kB,152580,0,2.710702,0.368908,112,,,,3683,305,,44953,,184,,,,8819
base_dijkstra_rob96_256kB,152580,0,2.710702,0.368908,112,,,,3683,305,,44953,,184,,,,8819
base_dijkstra_rob96_64kB,152580,0,2.710702,0.368908,112,,,,3683,305,,44961,,184,,,,8332
base_hj2_rob128_128kB,,,,,,,,,,,,,,,,,,
base_hj2_rob128_256kB,,,,,,,,,,,,,,,,,,
base_hj2_rob128_64kB,,,,,,,,,,,,,,,,,,
base_hj2_rob160_128kB,,,,,,,,,,,,,,,,,,
base_hj2_rob160_256kB,,,,,,,,,,,,,,,,,,
base_hj2_rob160_64kB,,,,,,,,,,,,,,,,,,
base_hj2_rob192_128kB,,,,,,,,,,,,,,,,,,
base_hj2_rob192_256kB,,,,,,,,,,,,,,,,,,
base_hj2_rob192_64kB,,,,,,,,,,,,,,,,,,
base_hj2_rob64_128kB,,,,,,,,,,,,,,,,,,
base_hj2_rob64_256kB,,,,,,,,,,,,,,,,,,
base_hj2_rob64_64kB,,,,,,,,,,,,,,,,,,
base_hj2_rob96_128kB,,,,,,,,,,,,,,,,,,
base_hj2_rob96_256kB,,,,,,,,,,,,,,,,,,
base_hj2_rob96_64kB,,,,,,,,,,,,,,,,,,
base_is_rob128_128kB,,,,,,,,,,,,,,,,,,
base_is_rob128_256kB,,,,,,,,,,,,,,,,,,
base_is_rob128_64kB,,,,,,,,,,,,,,,,,,
base_is_rob160_128kB,,,,,,,,,,,,,,,,,,
base_is_rob160_256kB,,,,,,,,,,,,,,,,,,
base_is_rob160_64kB,,,,,,,,,,,,,,,,,,
base_is_rob192_128kB,,,,,,,,,,,,,,,,,,
base_is_rob192_256kB,,,,,,,,,,,,,,,,,,
base_is_rob192_64kB,,,,,,,,,,,,,,,,,,
base_is_rob64_128kB,,,,,,,,,,,,,,,,,,
base_is_rob64_256kB,,,,,,,,,,,,,,,,,,
base_is_rob64_64kB,,,,,,,,,,,,,,,,,,
base_is_rob96_128kB,,,,,,,,,,,,,,,,,,
base_is_rob96_256kB,,,,,,,,,,,,,,,,,,
base_is_rob96_64kB,,,,,,,,,,,,,,,,,,
base_qsort_rob128_128kB,91648330,0,0.696199,1.436371,44306,,,,2085519,174794,,21438982,,68805,,,,18873265
base_qsort_rob128_256kB,89919654,0,0.683067,1.463985,30816,,,,1433283,167256,,21416389,,47139,,,,17223006
base_qsort_rob128_64kB,93008608,0,0.706532,1.415364,56807,,,,2658695,181340,,21454425,,87638,,,,20156529
base_qsort_rob160_128kB,91828684,1,0.697569,1.433550,39793,,,,2489989,178190,,21682697,,69992,,,,18070231
base_qsort_rob160_256kB,90317652,1,0.686090,1.457534,27798,,,,1707854,171188,,21652165,,47968,,,,16701942
base_qsort_rob160_64kB,93031370,3,0.706705,1.415018,50989,,,,3163783,184862,,21707706,,89024,,,,19169178
base_qsort_rob192_128kB,91735409,668,0.696860,1.435008,37638,,,,2863216,184637,,21962841,,71113,,,,16107129
base_qsort_rob192_256kB,90239830,635,0.685499,1.458791,26197,,,,1945306,177207,,21922691,,48888,,,,14804673
base_qsort_rob192_64kB,92854738,658,0.705363,1.417709,48315,,,,3626741,192027,,21991894,,90316,,,,17077997
base_qsort_rob64_128kB,94716442,0,0.719506,1.389843,54496,,,,1017219,155904,,21021477,,60802,,,,20669070
base_qsort_rob64_256kB,92449706,0,0.702286,1.423920,38030,,,,712018,152281,,21018382,,42448,,,,18405332
base_qsort_rob64_64kB,96683579,0,0.734449,1.361565,69337,,,,1288477,158978,,21024500,,77143,,,,22651751
base_qsort_rob96_128kB,91766817,0,0.697099,1.434517,45825,,,,1598267,161844,,21177778,,64197,,,,18892396
base_qsort_rob96_256kB,89922884,0,0.683092,1.463932,31906,,,,1119770,156141,,21168515,,44250,,,,17078191
base_qsort_rob96_64kB,93313066,0,0.708845,1.410746,58147,,,,2014793,167104,,21183968,,81653,,,,20422669
base_randacc200k_rob128_128kB,2029151,0,1.444925,0.692078,512,,,,6150,29594,,281260,,597,,,,469066
base_randacc200k_rob128_256kB,1982670,0,1.411826,0.708302,87,,,,3258,29588,,280648,,164,,,,426500
base_randacc200k_rob128_64kB,4176226,0,2.973821,0.336268,15564,,,,83885,29611,,281000,,15740,,,,2599749
base_randacc200k_rob160_128kB,2032561,9419,1.447353,0.690917,502,,,,7240,29599,,280983,,590,,,,213146
base_randacc200k_rob160_256kB,1986185,9376,1.414329,0.707049,87,,,,3640,29594,,280491,,165,,,,193681
base_randacc200k_rob160_64kB,4179865,10475,2.976412,0.335975,15555,,,,109612,29616,,281189,,15736,,,,1387345
base_randacc200k_rob192_128kB,2032879,22824,1.447579,0.690808,499,,,,8372,29603,,281166,,590,,,,3973
base_randacc200k_rob192_256kB,1987300,22848,1.415123,0.706652,85,,,,3887,29596,,280660,,165,,,,2310
base_randacc200k_rob192_64kB,4184817,21249,2.979938,0.335577,15549,,,,134495,29623,,281310,,15737,,,,21767
base_randacc200k_rob64_128kB,2031969,0,1.446931,0.691118,509,,,,4658,29583,,280529,,585,,,,470030
base_randacc200k_rob64_256kB,1986129,0,1.414289,0.707069,89,,,,2128,29577,,280014,,159,,,,429770
base_randacc200k_rob64_64kB,4184804,0,2.979929,0.335578,15611,,,,77149,29585,,280440,,15737,,,,2606334
base_randacc200k_rob96_128kB,2032077,0,1.447008,0.691081,512,,,,5388,29585,,280660,,593,,,,472432
base_randacc200k_rob96_256kB,1985208,0,1.413634,0.707397,88,,,,2715,29578,,280159,,162,,,,429419
base_randacc200k_rob96_64kB,4185659,0,2.980538,0.335510,15585,,,,79435,29591,,280586,,15740,,,,2608233
base_randacc500k_rob128_128kB,10783351,0,4.984089,0.200638,40815,,,,196800,85504,,373337,,40927,,,,8171875
base_randacc500k_rob128_256kB,3782349,0,1.748210,0.572014,269,,,,4664,85502,,373549,,353,,,,1209296
base_randacc500k_rob128_64kB,15094207,0,6.976577,0.143337,65424,,,,314668,85502,,373082,,65560,,,,12472343
base_randacc500k_rob160_128kB,10693765,28662,4.942682,0.202319,40761,,,,283014,85512,,372958,,40928,,,,4444027
base_randacc500k_rob160_256kB,3765863,26885,1.740590,0.574518,266,,,,5316,85510,,372945,,351,,,,568840
base_randacc500k_rob160_64kB,14956732,29795,6.913035,0.144654,65239,,,,447453,85512,,372666,,65563,,,,6848785
base_randacc500k_rob192_128kB,10818851,55871,5.000497,0.199980,40825,,,,312153,85513,,373333,,40928,,,,13731
base_randacc500k_rob192_256kB,3793893,58945,1.753546,0.570273,264,,,,6116,85514,,373275,,351,,,,2629
base_randacc500k_rob192_64kB,15153238,54039,7.003861,0.142778,65442,,,,434101,85513,,372987,,65562,,,,12036
base_randacc500k_rob64_128kB,10737031,0,4.962680,0.201504,40817,,,,197531,85493,,372899,,40928,,,,8125473
base_randacc500k_rob64_256kB,3766728,0,1.740990,0.574386,270,,,,3341,85493,,372966,,346,,,,1197443
base_randacc500k_rob64_64kB,14996569,0,6.931448,0.144270,65317,,,,311955,85495,,372536,,65562,,,,12373848
base_randacc500k_rob96_128kB,10684892,0,4.938581,0.202487,40786,,,,208584,85493,,372398,,40931,,,,8079838
base_randacc500k_rob96_256kB,3762114,0,1.738858,0.575090,272,,,,4079,85493,,372491,,353,,,,1196546
base_randacc500k_rob96_64kB,14941998,0,6.906225,0.144797,65265,,,,329090,85498,,371968,,65561,,,,12322804
base_randacc600k_rob128_128kB,34784451,0,9.553942,0.104669,151739,,,,737818,210477,,537316,,154750,,,,30166767
base_randacc600k_rob128_256kB,24730905,0,6.792622,0.147219,96114,,,,468905,210475,,537472,,98519,,,,20175131
base_randacc600k_rob128_64kB,40367388,0,11.087359,0.090193,182941,,,,886107,210480,,537117,,186722,,,,35738512
base_randacc600k_rob160_128kB,34952954,67086,9.600223,0.104164,151545,,,,1027834,210480,,536795,,154749,,,,17871823
base_randacc600k_rob160_256kB,24815209,63322,6.815777,0.146718,95862,,,,661759,210475,,536819,,98516,,,,12038508
